no,trace_z_base64,n_events,raw_bytes,comp_bytes,final_ok
11,eNqLjjbQUSpW0lF6uqT/yZ6JSrE6IIFMoMDjxv0gnokZjLsOxDWysIDwXyyeA5Y2gXCf758E5hpBVTc0griGFsYQ/rO5YMOMoaqfzd4B4poaG0KVN3WApS1g3C6wXTDTni6ZBpGGy4MtM7WEuWVZN4QPM64R7BEzSxh3Jdg4M0NTHaUUoADYaUaWCI6pKczkxmVgnXBPt6AaNB/sSWOYJ5uUYmMBh/xh3w==,21,322,169,OK
12,eNqLjjbQUSpW0lF60dD8uLFDKVYHJJAJFHjcOAXEMzeGcVeAuCZm5jB+D4hvbGoE4T9dMgssb24Bk28By1tC1T+bvhTMtzCCG7AbJGAKV78SzDWDchsawcrNLCH85yt3oVj3uHE9WLk51LQXk/aA5Y2MUKw3g3EbmpRiYwFfTEl3,15,237,129,OK
13,eNqLjjbQUSpW0lF6sWzV48bVSrE6IIFMkMCKBhDP1MISwn/cuBjEN4dzl4G4JoZQblMTWNbMFCr/ZO9UkICRkTlMPdhwMwMU9SYWMNlVIK4xTHFTJ9huSxRZUxO4WS1gs2B2N04H222EotrEFMptaAQrNkPixgIAyAdM5Q==,16,247,124,OK
14,eNqLjjbQUSpW0lF63LjycWObUqwOSCATLDAdxDO2gHGXgbnG5hD+8zUTQXwTQxOY/GIQ38wARbmpKZTb1A3WbQaTXQfiGloYwvirwYZZQA17tm0mWLelJUy+ByxvDnXM0/ZdIL6RqQmK8aYwtzZNBrvFGKZ7AdhymGVNvWDFxkYwabC3zaEee9zQBOYCjU4BcsHuNDI0RZKMBQA5vF4E,20,309,159,OK
15,eNptk81KAzEQx99lz3vIJplk91lKb148+wK7S08qiIgoeChC/QDPBUHBh2lt9S1sZjLZGezt/88k88H8MpuZujqr6up7dbtffFbzOh2cHg42w3VyPrK9TLaB7H8fXjEMjuNvydsmkN99PaJvbY6P+D6yHZ6ThXx70w9oY872s16hb3V1H1Sx6NneYy3TcK0bDHccfkk2cHRYYK4y5zJZx431I76Fujo5WJpR6DhpMJMOndDivBM6St0K7YUW+VuRE+LxOzIPCB3s8bcyp3UGaOjD8rnBZDMIDWgUFCn5bNonLsilfgQeTTBqY95YhYcvGyU8Cg+ERwSFh4NW4eGsxsNpFid0CY+CC+ERnMLDO6/4cJ3iIwbFh2Oath/n6POcu7snmrPMRdf5m2zfeyqmrvOn2q9HWmTp9ErVHi/+oTr/A6gzFKc=,66,962,326,OK
16,eNqLjjbQUSpW0lF6tr73ceM6pVgdkEAmSGDGHhDP2BjCfbp+LohrZGgJ4UMVGxsbosjDlD9rXA/imhqZw5T3gPkw3Q2NIK6JuRFU97ptYL6hCVS+aRKYbwDjtoC4ZoYwbj/YLrjiTrDZFjCruiFWwzQ3glWbwV0yE8yFuaQJrNrcDOawJjAX6I0UIBfENjQ2MUWSjAUACmdd3Q==,20,307,154,OK
17,eNpVkDsOwjAQRO/i2kX8d84SpaOh5gIYIYQUcQYKPgVIHCCC04TUXAGvv9lu3nrlmdmuayjZEErm22dyJ9JTGKz9YHIXINGKzHdgpRNuXXg2md0eWBe8AhpGycojaNlUbW3VaqHNQkux2FFVc65ZNPGZw6AtkUMBwVEDaThqYBhqwMFz0UAJ1EBZic2MQGaqeD+DNzOZH4E1zmLbzOdwroJDrJZ+m48HYKYsepf5t90Qj5+afccxrOesqUo5RFznNdsrHxvw9/ZZ+j8SKJi2,35,522,207,OK
18,eNpVkDEOwjAMRe+SOUOShqScperGwswFSMRSwY5gZYAywMIASMBhWpFrUDtxRLc+++v1O1UlOFswzsLu1bkVqzkM5sOgc2sgPU3oG0CpYDAbBkBW/H1rHZOhfWLSlCS6oEimfX9H8YTWSweoShP5e9uiTiX8XAGLlA5Ni3JbkHwDbKil26NbWeIDynKVE8ps+lf/eGM1YUc3m4xnrCYMMT6QzrYjpuVoW1AzH89UdKZndf0D1EdviA==,24,367,184,OK
19,eNqLjjbQUSpW0lF62rb9Wcd+pVgdkEAmUOBx4zoQz9RURykFyAWxLYwQbDNLBNvY1MwIogloCljSBMKFmgiXhpppYmAIVd61E8w3t4TJt4DtgTthPljawgLCfzl7N0Q5hPtid5dSbCwA2Mc6PA==,13,194,109,OK
20,eNqLjjbQUSpW0lF6tq772dK1SrE6IIFMoMDjhkYQz8wYlWuCxI0FAJgSFIE=,4,62,44,OK
21,eNqLjjbQUSpW0lF6Nmfus+krlWJ1QAKZQIHHjf0gnqmlJYT/YmEPmG9kgSJvbALlv1i1ASxvZgiVb2oC8c3MYMpbQFwTIxh3FYhrboEia2puDuE/mzoTrBlq1tN1S0BcI1NjmHKwW0wsoPynS/dC7ILLLwe7zQzFKYYWRqY6SilAATDPxBDBQbi6sVcpNhYASihT0g==,18,278,148,OK
22,eNpVj00KwjAUhO+SdRfNX6NnKT2Aay/QFBcFFy7cCIrdWCgICupS8TClRW+hmeYFsvzeTGYmeZ4mbMkSNpwOvT2zInGHxf/wsQ9HwmQT93YDFmLib3N3nOkJx/blUHFD9qtj4+W+tHgtffq4e8Iu52RHtxY8apdcRu2aE15QHrZ1cCsvD3ULt9aRXemZb9/fsEaHsW/EpYQN4gThCl8x0VSeCZp6RLgK9i3Kw/IasqCt1RrhJJcVK4oftSF47g==,25,391,190,OK
23,eNpdkDsOgkAQhu+yNQUsA7uchdDZWHsBWAoLCl8FhRbExEc08QBex6jxFjLDzpKl/PbbzMz/53kYiIUIxPfSvKqHKAJ8mPcPv/0VKdFqYGuT0PpPe0KGJGR/R1bue4eYxowbwshiWSFGqWR9Q47d7wPN0oyNP2tHODkMeJY5erNqugt4c70m65DOBOAUZossleX38jn4lJe1tDtjPJN2HazoFFeCabxOSkOpYSyJYkeyDzrrGUHLicRcowSvwEyxK/7eyYku,30,458,198,OK
24,eNqLjjbQUSpW0lF6umTO44ZGpVgdkEAmUODFzNUgnqm5KYT/uHEdiG9sagjhv5y/GcQ3NDeGyfeA+CbGUPnnWzaA+EYWljD5fhDf3ADGXQU2ztwIxl8M5pvAuMvApsE194IdA5edD1YM09vQBHaKoaEFTL4bJGBmhmKXIcjpKUA+iANyFoxtaQF3xFqIQUiShgZm5iimmpiimWqMZJI5jB0LAOC0ZQ4=,23,346,167,OK
25,,0,0,0,
26,eNqLjjbQUSpW0lF6Mbv3aWunUqwOSCATKPC8cT2IZ2piDOE/buwB8U3MzCD8p6vBfFMjuHyLUmwsACgLGbw=,5,80,62,OK
27,eNqLjjbQUSpW0lF62TDrafcSpVgdkEAmUOBx4zoQz9TUDMJ/2jQDxDcyMUKRN7aA8p/vA+s2MTGEyjf1gPVbQrkNjWDlxmYw7ftBfDOYaU2TwarhsqtAXENzqPSTHd1gaSMLmPJJEMdA+U8nTATLm8P1t4Btg7t1GZhrgCJrYmoCMw1sugncqU1KsbEAt01XCw==,18,282,145,OK
28,eNqLjjbQUSpW0lF6vrz7ceM6pVgdkEAmUODpkqkgnjmU+2zaThDXxMAIwn/cuB4sbQLjzgJxLaCqHzd1g2UtYLItYM2mUG5DE1gxkJsC5EKssUCSiwUAZlcumQ==,10,151,91,OK
29,,0,0,0,
30,eNqLjjbQUSpW0lF6vrz7ceM6pVgdkEAmUODZnLkgnok5hPu4oRHMNTaG8htXgfjmZlBu02QQ19gQLr0cxDcyN4Sa1rAUxDc1N4HJrwartzSF8J/s2gXim0G5zxq7IcphtjdOB0vDdfcjq4a6xcQC5hawZiMDQxS3mVnCVC8AS5vBpXshTodJt4Gthlu1FqwZHgxNIK4FUDYFyAVLGRoiycUCALMEZx4=,22,338,167,OK
31,eNqLjjbQUSpW0lF6MWHv48aFSrE6IIFMkMDEThDP3FxHKQXIBbEtDJDYFgi2kZmJIVTThL0gARNDIwgfaqSpMaqhJuamMPkesAFGJhD+y9krIAbC5VeD1ZtCzXuxaQ+IbwhyFVi+qQtsPozbuASs3BjGbQFxzSxh3GVgH8Hc1tAIVmwC17weVTXYacYmMJvAXHMLmOwqsGYLFJtMDWBGNynFxgIAK9hoOQ==,23,348,169,OK
32,eNqLjjbQUSpW0lF6vnbK48YOpVgdkEAmUOBx43oQz9DCDMJ/2r4LxDe2MIbJLwPxzcyh3KZuENccxm1cB+IamcJNWw3WDeM2NIK4JgaGEP6LVb1gaUNDmGlgeVO4XfPByk1g3H6w4ZZmMP4qsN1w6Rawy+DcBShWN04EazaGu3Q52CoLFJeZm8PMbmgC8S2B0ilALlipOdxZa2EWQeRiAS5mZPI=,22,335,164,OK
33,,0,0,0,
34,,0,0,0,
35,eNqLjjbQUSpW0lF6OXvF48bVSrE6IIFMoMCz/QtBPGMTEwj/cVMPiG9uDuU2zgdxDS2NIPyX7RNBfDOo6mdzVoClLYwh/OddDUqxsQDaDiNu,7,110,81,OK
36,,0,0,0,
37,,0,0,0,
38,eNqLjjbQUSpW0lF63Dz9cfMapVgdkEAmSKBpCYhnaGkM5TevAvHNzGDSO0FcEyOYbAeIa2oI4zeuBvHNDWHcJrBmGLepG6za2BQmvQ5smAmKZmMDmN3P1veBTYMa/nT2PIhlhihugZvWtBZsmqUFzG3NYMvNYdzpENUwjzVOR9HduAysGk0W7rR9IK6RGVx1GyQYoMHybPYmiNNhdjf2gOUtUMLB1BIpHGIBkK53lw==,25,388,175,OK
39,eNpVkDkOwjAQRe/iOkUcb/FZonQ01FwgDhQIKBD7CRACgWgjCg4TlhyDzMRjkfLN/7P9LIsjNmIRa4px7aYsj6AwbAu1OwJp4bEsAYXUHb8eW5R5h59dBaiUou4zymHYBLs54Q1QGsJLDwuHZuv5vVzgbKPJfkB7GLYGNGHYCbvjhA5fdattx9/qjizo0nIGnEivN88NMDfU7/a4TflX2qBQT4OOqem0F5tIbO9zTbeXczyWsMBUedjuc+Nxaxi0jI+noufWf5oUYe8V2ErS8h/Fe433,31,475,213,OK
40,eNqLjjbQUSpW0lF63Nj1uHGDUqwOSCATLNAE4hkbwrgLQVwzSyi3qRnENTeFcSeDuCYw2YZGENfIxAzCf966DsQ3tYByO1cqxcYCAIdUJvg=,8,123,80,OK
41,eNqLjjbQUSpW0lF62rb9xZStSrE6IIFMkMCu1SCeiaUZhP+4Ecw3NjCB8pung/hm5jDuKhDX3AjG3QzWbWEI090D4hsZWUL4z9Z1g/iGllDbHjd1QeQtIPwnu8Dqjc0tYfqXKMXGAgAt+TcL,11,174,108,OK
42,eNqLjjbQUSpW0lF6sWnh0x3NSrE6IIFMoMDjxtUgnpGhKYRvCOKZGUE4BmCOCRLHyNgMiWdiYAnhPW1rU4qNBQACQhvw,7,102,69,OK
43,eNqLjjbQUSpW0lF6vrL3ceN+pVgdkEAmUOBx42IQz9gSxt0I4pqam8H4q8DShjDudBDXxALGXQfiGhlCDXs2Zw2YbwZX3gPWbWIC4T9dBNZuamgKk+8A8c3NodymbrA0zPSGJqXYWADuZTqi,12,187,108,OK
44,eNpVkj1uwzAMhe+i2YMlirJ8liBbls69gD1ncIcCBQoEGQIUTQJ0KYIsvU3hFr1FKeqXGz+Koh6fuNn0nXpUnVqX/d/8rLZdSDxQ4nv+CITGR/69PTHriOv5NR5n/lqY8+1pDmgsRv75PAUG8Lk7l/vy2DuXo0vl0yGwGzu1I+TY1Hjsa+ybvIemXjexq7Fteg6+xtj0dE1eW5c0k0V8CSImuwBQGKbHXhjmBmEYSL+clX5pI/yyxgq/YBR+IQzCLzsULfE6ZHzjxwpe+BRN5r34u3hZu9Ls2A6SF6NIuaatqWtEJTQ9TUxT0mQ0DOknzSSTmpMaUkCPcnyk4tQD8zqsy52dtsIMrE6/5F8t+rb/3Pjkjw==,45,714,277,OK
45,eNqLjjbQUSpW0lF6OXvF48Z1SrE6IIFMoMDTniYQz8TSEMJ/3NgC4pvBuetBXFMLKLehEcQ1MoDpXrsYxDc2hnCfr28AG2ZuCtM9BWwYTHfjCrBqQ7j0ahDfEKb8ZeNUsHYjI5h8G8Q4qG3PNkwHO8bcEibfA+IjuDPBxsO4Td1g1TDDGoAejQUAHQxSAw==,17,265,142,OK
46,eNpVkTsOwjAMhu/SuQPOo23OUnVjYeYCtFQsgBBCgoEFhko8RMvEymEQRdyCxqmDPH75Heezk6aDMBgHYfCptm2zDLLQHoy6g1deWwKdOH7XD8syAp6bnt+LwrJKEspLy7EibCxq0eMkx2qKv/uTZSH56wKk43ZXueu++xWZP6Y14RFdDeHdqfdYbJhp+5wiK0nlK2wWE15wEDIr5ljtB8GxRURPF8gRxfnMbannT4lmGmImLiXfMiRe/YDt/BbXeN2bnpmac4mlYOYA3RcNO7ZgBG0hv2Go1D8EMIb9T+TD7Ac24KZV,36,554,231,OK
47,,0,0,0,
48,eNptUrtOA0EM/Jetr9j341uidDTU/ABHRUIiCgIVLYICEokOIcTHAKd8Bl7vml2f6Dz27YxvxouFHMSZGMS0e5vuX8RyyI1TaHyN+4y0rPhntc3YRUPzx4xNCnV++YDzpOv8YoPzQPAqQ0/T8SnDoAhu2cfnI3K5qjVtDriL90S2ztgGV/Dxc4c4DuIEIDKbVseuDrbrp64fWu26fpakuudPsuuH/3V7LatbbZSsNoDrxdQKSwLWGpaBip5lYOYZSMMysM6zDKxlGTR2zEA3tsKeWAjGRBaCU5qFwO4HFoYdYS3YBMRBEESAF7jgeX1hnGaxubbfumCK/a64oxL7Xa0C2fWM/0MX+nEzc2dfzK1H9v3+is/1zF264OPqUNb7O8rbggmimc3b68JONzuiuXSy6PXyF4KSBsM=,56,863,314,OK
49,,0,0,0,
50,eNqLjjbQUSpW0lF63Nj0uHGFUqwOSCATKPBk71QQz8QCwn26cwuIa2oA5T9uagHzTWDcbjDXDMadDOIaG0ANe9y4AMw3h0n3glUbw3Q3tqFINzQpxcYCACMEMKk=,10,155,92,OK
51,eNpVkU0KwjAQhe+SdRfNb81ZSg/g2gu0UVAEEamgLkRB/MGlK12IhynWegvNNBPN8pvMezPzkqZxRHokIs3lWhULkkW20P0WqmJjSXkcW+SxaPk9nFmWzD3nhUWhkpabxxyeaYLyHbBCPIAbRSwtJhLxDM0xR57CKp1ALIV2bAyY+VED6NYBCoF4ssik867zNYi1nz0CNQ1SkNRxvYJZOPplbhap9u5HOEQFqTDhNn/u79D+220SprIENd5p+mFIkArjMjiM4weZMjx7C17xnzj7AI0Vl7E=,32,494,215,OK
52,,0,0,0,
53,eNqLjjbQUSpW0lF63NjyuHGJUqwOSCATKPBi1VoQz9DCCMJ/3NQI4psaQrmNG8BcUxi3BcQ1MjBD4ZsZwzRPBkubWMKkF4D45jDdDWCzjU2h0i82bQcbbmQAU74YxDexgHHng7nGhiimIQyfCDYN5vDGdWCuOdSwZ3PWoBneA3aLAYrhZnBuP1gWbthUiGYUf5ma6yilALngADMxMUeSjAUA/itryA==,23,354,166,OK
54,eNqLjjbQUSpW0lF6umT5k127lGJ1QAKZQIHHjYtBPDMTGHcZiGtuqKOUAuSC2CZmCLaFORIbSY2hmZk5xACgBWBJqPFQy4yNLFCsMzdGsc7EHCr9ZO9UEN8Uyn22djPYdEu48m6waYZQblMnmGsOk12gFBsLAAlcRhQ=,16,235,122,OK
55,,0,0,0,
56,eNqLjjbQUSpW0lF6NmXfi1WblGJ1QAKZQIGn+3pAPBMLQwj/ceM6MN/cAsJ/sWoDiG9sYGwKVdDUBFZgAlPfAuKamphbwgRWgTXAlDf2g7iGFiYo0iYWMO5isGo4dz5YtaU5hP9s6kyw6TDHrlsCVo3Q3QPhQw1/unQviG9kYA6T71WKjQUAyKVPIg==,16,253,139,OK
57,eNqLjjbQUSpW0lF6Nmfu48YWpVgdkEAmUOBx40IQz9wYxt0A4ppZQrlNk0FcU7ji1SCusakhhP9sayOIb2RhCpOfCZGHmvZs9iYQ38TCEGbcJLBxJlBuA1Q73Pi5YLfALG9cB5Y2gip/Nn0p2HRjVHlzI5hrX7SvQnbt0442sO2WRiiuN7W0gPBfNu4Am2dmiuJ3c7hrZoODAubYxmVg0+CKwaFoCuM2dUPMgvmsSSk2FgAs9XNg,24,374,183,OK
58,eNqLjjbQUSpW0lF6smfWi5UblWJ1QAKZQIHHjT0gnqGpMYT/smEKiG9uBOE+7WiHSMOUN4GVw1Q/bpwP5lqaQvjPZjaB+MYWcPl1YNMModyGRhDXyBJq2rNNHWBpC6jdu2eCLTM3g+meiaK7qRNiGczwJohlxlDLn+5vRlb+dM4GsGVmljDlYMtMjGCGtyjFxgIAh2NXKQ==,18,281,151,OK
59,eNqLjjbQUSpW0lF6tmH648YepVgdkEAmUOBley+IZ2poBOE/bpwI4puZwLgrQVwjYxNDHaUUoACIZ2GOYJtaGsNUtijFxgIAzg8fCA==,7,105,76,OK
60,eNqLjjbQUSpW0lF6vrXp5ezdSrE6IIFMoMDjhkYQz9TEwhgi8HzVZJCAiSVMQeNqEN/YzAzCfzl7BYhvZoii39jEFMJ/sWoDWLuhqSVUQVMTWIExzLgWsH1mMO4qsHJzFFlDCxOoabu7II6BcJ/sWAjWbIxkdywABL9E2g==,14,220,124,OK
61,eNqLjjbQUSpW0lF6OqHn+arJSrE6IIFMoMCTPbNAPBNDCPdxQyOIa2RqBuG/WNgDljaGyTf2g/jmcG43iGtsCVO+fzuEbwyTXwzim8GVL0PhNoF1w+yC2m0BdFkKkAtiGxoYGCNJxgIA2GA9RA==,13,200,109,OK
62,eNpVkE0OgjAQhe/SdReWtlDOQjiAa09QMPEHCUvjwrgxIfFvo3HlbRog3kJn6DRh+c17fX0zWTbjbME4G9qqP7xYzmEw/w9csQOSyqO9AkapGblrzsDKpOS3SxiI2BtceUODoLgnoI5J/QDGKeEGzSqhsAeGJXrk7+qIOv3u7BaYZFfUgCZU2aNbe7k7ldjdiEm6DPYLdglYoSoJW3wsPA/r91hNTcK09Kv0d7xbJEPVerKpbVie/wC833PE,24,375,189,OK
63,eNpVkD0SwiAQhe+SOgUhQOAsGTsbay9AMtr40zqTysrR0cI+M9HDmBiPYXZhUTo+3uPtW8qSpckySZO+a8amS2YpXCymi1e1A8q0cfy2B+BcaNJXwFJJx33bAnOZk34BLshuK7RLsncNsCgc+tmCZD9dcv98ODndKNL32CbYr06Oy0il4zgZdRfcY70FVNTc1pht/ObjGasLFja7Y5j2XYYHhude/tg12nUYdsN0FlVVQhA/0R7wiHL8y9pMPJ8Ygf3OGaxEYJihhTb49ybO5FFmIf/WnX0BWfWdWw==,34,521,220,OK
64,eNqLjjbQUSpW0lF63Nz9uHmpUqwOSCATLLAHxDMxs4Tym3aC+EYmxjD+JBDf1MIQwn+2rQPEN7aE6W+cDuKbG8K480FcMzOY7k6wblMot6ERzDWCGv6yeQXYchMI9+nGbohdRjDDesDSBlD5l3Nngt1mCXNbI1i9iTmMC5Y2sYBx+5ANh7kMJtvQpBQbCwDzXVaK,18,280,147,OK
65,,0,0,0,
66,eNqLjjbQUSpW0lF62jTjceNUpVgdkEAmUOBx40wQz8TIGMZfB+Kbm0G5DY0grpmhjlIKkAtiWxgh2KYGCLaJMYJtboFgGxoZm0AMA1oOEjA2MofZBXaJiTmKU4zNDVGcYmKC4hRTU1MovwnMN4FzJ4N1W8I0rwRx4XY/buxH8RfEalMDJLNjATItVLg=,20,294,140,OK
67,eNpVkEEOgjAURO/SNYvSFpCzEA7g2gtQYqIGd8SFJkSMiRoXLl3gcUASb6Gd9tewfH/6Z34ny3jAFixgva57/WB5YAbz32A8rQ1F0uLwegIji32hDcpZ6FgfDScxIV5LUssaKNz2pziAU0H6xnCc0vYdZh6XQEnRpUGlOMlXcEJekCOVuMF71dmBP3UPDid24f/0BnbkXm6BFK6BkguqZQczlzV0FZD701t8zEffIAu3PRaN7UGRfkYY1aIvtjZfYzUp2VyefwGpxIof,29,450,204,OK
68,eNqLjjbQUSpW0lF6OXvF48Z1SrE6IIFMoMCz6UtBPCNTCwgfKmtiCpV/2gGWNzWC8h839YDlTQwh/JezZoP4xlDu44ZGsHIzYyOYeU1g9TDtjatAXDOY8sb5YOXmlii2G5mbQG1vmgGxDa59AcR1MO5EsOUw25+2doD4hmYmMPnVYHmY8S+WdYONt4Q7DqzezALVcXDH9ENMN0aRNoerXgzxKopXjGGaG4D+jgUArxdzgw==,24,376,178,OK
69,eNpVjz0OwjAMhe+SOUOp2/ycpeoBmLlAkwGkgsSAoKoYGIC1sHCiikjcgsaJI2X87Of3npum4GzDOHPX3Wx71nI/WC+D2UyeaikCu+HpGRSoTFAVOgrOYxAE/E4PXK8EyV+eZR2xMx5LGeVutHgd03+XE6JIYQe8pnJ2i+ZkZu7YNVU/Iqqk7gPTKx/MBl3SHs2B3Owes4DS3HvAe9BZmQoIcQ2Q4m9Zm275rP0DK25u0A==,23,361,178,OK
70,eNqLjjbQUSpW0lF6umTq85Y9SrE6IIFMoMDjxokgnrkJjLsYxDU2h0svA/FNjaDchkYQ18TQEia9CkV302SwblOY7HKwagOo9NOOdhDfyMQCRbcJ3K4WsG5jFMNMLeGmdYOlDWHSTSCuoakx0PQUoACIZ2GEYFuawgxqXADim8GsaeoF2wqXbQMbC5NtABobCwC1cFsa,20,304,150,OK
71,eNqLjjbQUSpW0lF6Nrv9cVOXUqwOSCATKPC4sRvEMzeEcps6QVwjIzMLHaUUoACIZ2GOYBubmkBUPl+5C8Q3sTSFGbQOxDc1N4bwn+wAG2xiaIQib2wGlX82cwvYJgMTmM09IL6ZGUz5fLByC6jylwunKMXGAgB/iDw9,13,200,123,OK
72,eNqLjjbQUSpW0lF63Lz+cdMSpVgdkEAmWGAiiGdqCOPuAXNNTaH8xnVgvpkxhP9y/mYQ3xymvKERxDW2MDOBCjQtAwvATG9ajKK8eTNEOUx2NYhrYolit6GFEardRsh2xwIAtD5ACw==,13,203,103,OK
73,eNpVkT1uAjEQhe+y9RbYZu3dsyA6GupcAHvTEKAhSBSQoBT5USJFkSLRJAqH4UdwizDPM4Ytv5k34/fGnU4rz26yPDssH7b+NuvmVOifC1v/RNSuBL8Ii8oyh3ti46T9ibZTzDWmjajrX0Ir6voDuw3jwBNqxXxavBGrqt1Yri17Oa2+oxdZF6bQFzry0T+CbZqf4LmE70AtOCZ0YiYMo7jkZZsZ2hxst0EwVYrcz+FFcvsXTCfESZ3cNIwaNx0EHMmwk93PHa7E6sP8GbFNcgZ5oVm+fx3FL0i5VuD0Y+uGs/hhypGZ3rkAoqcvcNUpWynCXyNRjGCLqwjdfyOXr0Y=,38,582,257,OK
74,eNqLjjbQUSpW0lF6umTqy8XrlWJ1QAKZQIHHDY0gnrmxgRFE4MWm7WABQxOYisbFYAEzGHcZiGtkbgHhP92xAcQ3toApb+pWio0FADnxJE8=,7,113,80,OK
75,eNqLjjbQUSpW0lF62tr8bMN0pVgdkEAmUOD9nvkgnpGpOYT/uHExiG8M5y4DcU0todyGRjDX1AjCf9E4D8Q3NDeFKZ8I4puYwbirwMqNYdxuiF2GKHYhrAY7xcTAGFU33O4mpdhYAGkKPxk=,13,202,107,OK
76,eNpVkL0KwjAUhd8lc4emSZPmWYqbi7Mv0GZRdBLBHxxUKiiIiKv4NsU+h8lpbqRbvpzLd25SlmnCpixh3WHW1g0bJf5i4i7a+ugpV7rnbvfxLCWn/O6ZaxHy19uz0DLktvas84FOGcI1poUivsGeET5RTrtUcHETprvzHO5Q/b1sMC2jzELOB24R3VdUpUWQPZq+q6B8C47jSyCPNozrbPCu2GUXQKkp3oNVXO2EckG48mhy1z127KEw/7NJqcZiC0W/WbkXjn7xGIaR,29,445,204,OK
77,eNqLjjbQUSpW0lF63LjycWObUqwOSCATLDAdxDMxN4bxl4H4ZoYwbhOIa24O464DcQ0tzCD8ZzPB0mYmUOmGRhDXyBAm3dkNNtzYEirfNAnMt0Qx3MTMFMYHS5uawVR3QkyDOa2pB8Q3NoKpXgW2G+5wsF1GBjDdjYtR7ZqPavZksGa4vxaAjbaAyfaCFZvArQIHmTnMrAagu2MBv4poAQ==,22,340,160,OK
78,,0,0,0,
